2024/10/26 19:30:55 Sender: 192.168.1.183, Receiver: 92.38.180.154, Protocol: TCP
2024/10/26 19:30:55 Sender: 92.38.180.154, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 47.245.109.243, Receiver: 192.168.1.183, Protocol: UDP
2024/10/26 19:30:57 Sender: 8.222.236.46, Receiver: 192.168.1.183, Protocol: UDP
2024/10/26 19:30:57 Sender: 8.222.237.95, Receiver: 192.168.1.183, Protocol: UDP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.1, Receiver: 224.0.0.1, Protocol: IGMP
2024/10/26 19:30:57 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:57 Sender: 192.168.1.183, Receiver: 224.0.0.22, Protocol: IGMP
2024/10/26 19:30:58 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:58 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:58 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:59 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:59 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:59 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:59 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:59 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:59 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:59 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:59 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:59 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:59 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:59 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:30:59 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:59 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:59 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:59 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:59 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:59 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:59 Sender: 95.214.53.91, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:30:59 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:02 Sender: 83.222.191.54, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:02 Sender: 83.222.191.54, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:04 Sender: 192.168.1.183, Receiver: 20.250.77.142, Protocol: TCP
2024/10/26 19:31:05 Sender: 20.250.77.142, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:05 Sender: 192.168.1.183, Receiver: 92.38.180.154, Protocol: TCP
2024/10/26 19:31:05 Sender: 92.38.180.154, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:07 Sender: 192.168.1.1, Receiver: 224.0.0.1, Protocol: IGMP
2024/10/26 19:31:07 Sender: 192.168.1.183, Receiver: 224.0.0.251, Protocol: UDP
2024/10/26 19:31:07 Sender: 192.168.1.183, Receiver: 224.0.0.251, Protocol: UDP
2024/10/26 19:31:07 Sender: 192.168.1.183, Receiver: 224.0.0.22, Protocol: IGMP
2024/10/26 19:31:08 Sender: 192.168.1.183, Receiver: 224.0.0.251, Protocol: UDP
2024/10/26 19:31:08 Sender: 192.168.1.183, Receiver: 224.0.0.251, Protocol: UDP
2024/10/26 19:31:08 Sender: 192.168.1.183, Receiver: 224.0.0.251, Protocol: UDP
2024/10/26 19:31:08 Sender: 192.168.1.183, Receiver: 224.0.0.251, Protocol: UDP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 83.222.191.54, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:12 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:14 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:14 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:14 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:14 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:14 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:14 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:14 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:14 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:14 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:14 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:14 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:14 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:14 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:14 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:14 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:14 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:14 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:14 Sender: 83.222.191.54, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:14 Sender: 13.89.179.14, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:15 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:15 Sender: 192.168.1.183, Receiver: 92.38.180.154, Protocol: TCP
2024/10/26 19:31:15 Sender: 92.38.180.154, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:15 Sender: 192.168.1.183, Receiver: 92.38.180.154, Protocol: TCP
2024/10/26 19:31:15 Sender: 92.38.180.154, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:17 Sender: 192.168.1.1, Receiver: 224.0.0.1, Protocol: IGMP
2024/10/26 19:31:17 Sender: 192.168.1.183, Receiver: 224.0.0.22, Protocol: IGMP
2024/10/26 19:31:18 Sender: 83.222.191.54, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:19 Sender: 192.168.1.183, Receiver: 1.1.1.1, Protocol: UDP
2024/10/26 19:31:19 Sender: 1.1.1.1, Receiver: 192.168.1.183, Protocol: UDP
2024/10/26 19:31:19 Sender: 192.168.1.183, Receiver: 162.159.200.123, Protocol: UDP
2024/10/26 19:31:19 Sender: 162.159.200.123, Receiver: 192.168.1.183, Protocol: UDP
2024/10/26 19:31:22 Sender: 83.222.191.54, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:25 Sender: 192.168.1.183, Receiver: 92.38.180.154, Protocol: TCP
2024/10/26 19:31:25 Sender: 92.38.180.154, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:27 Sender: 192.168.1.1, Receiver: 224.0.0.1, Protocol: IGMP
2024/10/26 19:31:27 Sender: 192.168.1.183, Receiver: 224.0.0.22, Protocol: IGMP
2024/10/26 19:31:30 Sender: 48.216.196.168, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:30 Sender: 192.168.1.183, Receiver: 172.64.155.209, Protocol: TCP
2024/10/26 19:31:30 Sender: 172.64.155.209, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:31 Sender: 192.168.1.183, Receiver: 172.64.155.209, Protocol: TCP
2024/10/26 19:31:31 Sender: 172.64.155.209, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:33 Sender: 83.222.191.54, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:35 Sender: 35.203.211.105, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:35 Sender: 192.168.1.183, Receiver: 92.38.180.154, Protocol: TCP
2024/10/26 19:31:35 Sender: 92.38.180.154, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:37 Sender: 192.168.1.1, Receiver: 224.0.0.1, Protocol: IGMP
2024/10/26 19:31:37 Sender: 192.168.1.183, Receiver: 224.0.0.22, Protocol: IGMP
2024/10/26 19:31:39 Sender: 83.222.191.54, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:45 Sender: 192.168.1.183, Receiver: 92.38.180.154, Protocol: TCP
2024/10/26 19:31:45 Sender: 92.38.180.154, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:47 Sender: 192.168.1.1, Receiver: 224.0.0.1, Protocol: IGMP
2024/10/26 19:31:47 Sender: 194.48.251.51, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:47 Sender: 192.168.1.183, Receiver: 224.0.0.22, Protocol: IGMP
2024/10/26 19:31:50 Sender: 192.168.1.183, Receiver: 20.250.77.142, Protocol: TCP
2024/10/26 19:31:50 Sender: 20.250.77.142, Receiver: 192.168.1.183, Protocol: TCP
2024/10/26 19:31:52 Sender: 192.168.1.183, Receiver: 172.64.41.3, Protocol: UDP
2024/10/26 19:31:52 Sender: 192.168.1.183, Receiver: 172.64.41.3, Protocol: UDP
2024/10/26 19:31:52 Sender: 192.168.1.183, Receiver: 172.64.41.3, Protocol: UDP
2024/10/26 19:31:52 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:52 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:52 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:52 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:52 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:52 Sender: 192.168.1.183, Receiver: 13.89.179.14, Protocol: TCP
2024/10/26 19:31:52 Sender: 192.168.1.183, Receiver: 172.64.41.3, Protocol: UDP
2024/10/26 19:31:52 Sender: 192.168.1.183, Receiver: 172.64.41.3, Protocol: UDP
2024/10/26 19:31:52 Sender: 172.64.41.3, Receiver: 192.168.1.183, Protocol: UDP
2024/10/26 19:31:52 Sender: 172.64.41.3, Receiver: 192.168.1.183, Protocol: UDP
2024/10/26 19:31:52 Sender: 172.64.41.3, Receiver: 192.168.1.183, Protocol: UDP
